 ул.; улица 
Ул.;Улица 
 пер.; переулок 
Пер.;Переулок 
 бульв.; бульвар 
Бульв.;Бульвар 
 пл.; площадь 
Пл.;Площадь 
Б. Спасская;Большая Спасская
Просп.;Проспект 
 просп.; проспект 
Акад. Сахарова;Академика Сахарова
Ф-ка;Фабрика
Ин-т;Институт
 ин-т; институт
М. Бронная;Малая Бронная
М. Никитская;Малая Никитская
Б. Строченовский;Большой Строченовский
 кладб.; кладбище 
Кладб.;Кладбище 
 п-ка; поликлиника
П-ка;Поликлиника
Гост.;Гостиница 
 гост.; гостиница 
К/т;Кинотеатр
 к/т; кинотеатр
 ал.; аллея 
 мкр.; микрорайон
Мкр.;Микрорайон 
М-н;Магазин
 м-н; магазин
 пр.; проезд 
Пр.;Проезд 
Б. Семеновская;Большая Семёновская
 б-ца; больница
Б-ца;Больница
З-д;Завод
 з-д; завод
 гор.; городская 
М А Д И;МАДИ
 ш.; шоссе 
Ш.;Шоссе 
Платф.;Платформа 
 платф.; платформа 
(сев.);(северная)
(южн.);(южная)
Д/к;Дворец культуры
Акад.;Академика
 наб.; набережная 
Ж.-Д.;ЖД
ж/д;ЖД
а.с.;автостанция 
А.с.;Автостанция 
 уг. ; угол 
-Я;-я
ст.метро;метро
Ст.метро;Метро
Квц;КВЦ
К-Та;комбината
 Отд.;отделение 
-Е;-е
-Я;-я
А.п.;Автобусный парк 
(Посадки, Высадки Нет);
(высадки и посадки нет);
(посадки и высадки нет);
(Посадки/Высадки Нет);
(Оборотная);
(Оборотная, Посадки/Высадки Нет);
(Посадка);
(Посадки/Высадки Нет;
(Посадки Нет);
(Оборотная, Посадки/Высадки Нет;
Конечная ;
Оборотная ;
а/с;автостанция
А/с;Автостанция
ст.м.;станция метро 
Ст.м.;Станция метро 
10 км;10-й километр
(АС);Автостанция
(АВ);Автовокзал
(ЖДВ);Железнодорожный вокзал
ЖДВ;Железнодорожный вокзал
Ж.Д.В.;Железнодорожный вокзал
 (А);
 (Б);
 (В);
 (Г);